# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Database class in src/data/db/ (db.upsert_story).
LocationId|Name|RegionId|Notes|LoreFragment
LO140bb9daef|Imperial Furnace|RG8e23bdd8e8||
LO36ae1c4fdf|Imperial Palace|RG8e23bdd8e8||
LO40042662e0|Imperial Palace|RG8e23bdd8e8||the-royal-court
LO4621469c21|Iron Assembly|RG58cc047b16||iron-assembly
LO8593d6a47a|Iron Hall|RG58cc047b16|The seat of power for Metrix's municipal government.|
LO6db815b603|Ironsong Forge|RG615666dae9|In the city proper.|
LOe0baf4e5bf|Isen's Peak|RG48803cad0f||
LOefe3b7b779|Isenloft|RG48803cad0f||
LO90f44534b8|Jawbreaker Territory|RGb2d75101c8|No official territory with the exception of some houses on the water.|
LO53e78f2bca|Kirohime Gate|RG6cd31a74b6||
LO4ad5c53ed6|Kraken|RG05a2281d01|Boat|
LOaa30fa5d01|Kraken's Barrel|RG05a2281d01|Tavern|krakens-barrel
LO81711f1965|Kyloria's Lair|RGb2d75101c8|Deep beneath the Pits.|
LO6e38122fa3|Lake Frigid|RG48803cad0f|Channel Lake Frigid|
LOe84340b4cf|Larinkmorth|RG48803cad0f||larinkmorth
LO7cc652d28f|Legendarium|RG48803cad0f|Part of the Everfest Carnival.|the-everfest-carnival
LO96900f0f15|Library of Illumination|RG615666dae9|In the city proper, a public library cared for by the members of the Light of Sol.|
LOfe0bcee0f1|Lowlake|RG58cc047b16||
LO0f86dbf091|Lunar Temple|RG6cd31a74b6||
LO4c321edabb|Midtown Markets|RG58cc047b16||midtown-markets
LOab5854ee60|Might n' Mead|RG48803cad0f|Where Valda grew up and works.|
LO05d1d645b9|Milesian Ranges|||
LOe836c30d21|Mistcloak Gully|RG6cd31a74b6||
LOc03e9c4edb|Mistcloak Lake|RG6cd31a74b6||
LO285b16d77c|Mojire|||
LO09eeed8abb|Morlock Hill|RG615666dae9|Site of the Battle of Morlock Hill.|
LOe70b25b69f|Mount Heroic|RG48803cad0f|A mountain which towers above the forests of eastern Aria.|
LOf854390156|Mt. Isen|RG48803cad0f||
LO99af29f787|Mt. Volcor|RG8e23bdd8e8||
LO817b25703b|Mugenshi Ancestral Shrine|RG6cd31a74b6||
LOa3baccb57a|Mugenshi Gorge|RG6cd31a74b6||mugenshi-gorge
LO7e38563547|Mugenshi Village|RG6cd31a74b6|Hidden village in the Mugenshi Gorge, led by Katsu.|
LO603ad6f1ca|Nasu-ka Teahouse|RG6cd31a74b6|Nuu's teahouse by Mistcloak Lake.|
LOadcae50c4e|Numbskull Territory|RGb2d75101c8|Cave network lined with skulls, resembling a catacomb.|
LO982156832b|Octogria|RG615666dae9|The gardens of|
LOa713aacc91|Old Metrix|RG58cc047b16||
LO7e1371a24c|Overseer Crichton's Mansion|RGb2d75101c8|Situated in The Maw.|
LOd413ac0d9c|Piper's Pier|RG05a2281d01||
LO1796af117a|Pirate's Perch|RG05a2281d01|Filled with jungle.|
LOd57891a167|Pit 3|RG58cc047b16||
LO9dc6c4e008|Plumvex Pipes factory|RG58cc047b16||
LObe049a1d08|Port Conniver|RG05a2281d01||
LO1c93512ec9|Red Desert|RG8e23bdd8e8||
LOde4710a671|Rhinar's Territory|RG8ee35f0ddd|Void of other brutes.|
LO9da000af9a|Rosario Hills|RG58cc047b16|Orphanage parent company.|
LO1406097472|Rosario Orphanage|RG58cc047b16||
LO22dce34a3d|Rotwood|RG48803cad0f|Area next to Candlehold.|
LO493803f93f|Rust Belt|RG58cc047b16||
LOed5d05a8e1|Ryōsōzan Peaks|RG6cd31a74b6|Owned by Nuu.|
LO1779d4a02e|Sand Glass District|RG8e23bdd8e8||
LO85d0af60cd|Sandakai|RG8e23bdd8e8||
LO2ab0aae07a|Seethe|RGb2d75101c8|A river.|
LO4cee4181ce|Seetheside Docks|RGb2d75101c8||
LOdac2de7193|Sellshore Coast|RG05a2281d01||
LOc74a0534ad|Shuntswitch Railway Station|RGb2d75101c8||
LOda7dc20f64|Shyldverk|RG48803cad0f||shyldverk
LO58e2880026|Signarus|RG615666dae9||
LO0112129075|Silvarium|RG615666dae9||
LOf88e62095e|Skein|RGb2d75101c8||
LO6f1ca2e4e2|Skylark Peak|RG6cd31a74b6||
LOa3a04e4df8|Solana|RG615666dae9|Holy city-state at the heart of Rathe, built by pilgrims of Sol and governed by the Order of the Light.|
LO32c4e8536a|Solstice of Laurels|RG615666dae9||solstice-of-laurels
LO3f61ba559d|Sori 16|RGb2d75101c8|Location of The Leaf House.|
LO91aab9bb2e|Southmaw|RGb2d75101c8|Southmaw Asylum is a laboratory of horrors where the orphaned and discarded of the Pits beneath Metrix are subjected to nightmarish experiments.|
LO61b5004aa3|Sunvale|RG615666dae9|Village.|
LO59f11a4ee0|Tarnish Hill|||
LOe65f54e241|Teklo Industries|RG58cc047b16||teklo-industries
LO87ad66fb94|Tempest Straits|||
LO48f0f2bc26|Teramundr's Triangle|RG05a2281d01||
LO42d5b6c0e2|Terrecette Academy|RG58cc047b16||
LO1a85c4ceb4|The Ash Plains|RG8e23bdd8e8||
LO8c71f728cf|The Awakening Ceremony|RG615666dae9||the-awakening-ceremony
LOb5f81d1848|The Badlands|RG8e23bdd8e8|Borders the Savage Lands.|
LOa21e808c75|The Beyond|RG8bc7b8bb1d|Separate realm.|
LOb8c84ed077|The Bleake Expanse|RG48803cad0f||
LOffa22496bd|The Broken Chariot Tavern|||
LO0d4a1fe93c|The Drop|RGb2d75101c8|A bar owned by Uzuri.|
LO6562f78c72|The Everfest Carnival|RG48803cad0f||the-everfest-carnival
LO838e79f0bd|The Flow|RG48803cad0f|A wild, unpredictable force of nature in Aria, the Flow shapes the landscape around it as it ebbs and flows.|the-flow
LO44d64195eb|The Foundry|RG58cc047b16|An independent radio station, one of the few in Metrix that remains free of Mendacity control.|the-foundry
LO5ebb0e0557|The Golden Fields|RG615666dae9|Beyond the outer walls are grand golden fields, numerous villages and towns under the protection and guidance of Solana.|
LO6e57d10574|The Golden Gnome|RG48803cad0f|Part of the Everfest Carnival.|
LO59d883b748|The Golden Orchard Estate|RG8e23bdd8e8||
LOf2650073b1|The Grand Council|RG615666dae9||the-grand-council
LO93dd5ae463|The Great Gates|RG615666dae9|These eight paths lead through the city to the Solarium.|
LOf169f51c99|The Korshem|RG48803cad0f|A massive tree at the heart of Aria that shelters all who live amongst its leaves.|the-korshem
LO6387c3994d|The Leaf House|RGb2d75101c8|Restaurant run by Jemjang.|
LO0627fa9c19|The Light of Sol|RG615666dae9||the-light-of-sol
LO5a77b13b75|The Maela|RG48803cad0f|Part of the Everfest Carnival, home to fortune tellers, seers, oracles, enchantresses, and conjurers.|
LOad1f6eebc9|The Maela|RG48803cad0f||
LO809de2774d|The Maw|RGb2d75101c8|Entrance to the pits, traveled by mine cage|the-maw
LOc8f4074eb8|The Moat|||
LOfb3d45171c|The Needle|RG58cc047b16||the-needle
LO3b30c6969f|The Northern Realms|RG615666dae9|Region of Solana.|the-northern-realms
LO1b27545b9e|The Oasis|RG8e23bdd8e8|Water from Misteria, lava from Mt. Volcor.|
LOb46ee21e33|The Obsidian Coast|RG8e23bdd8e8||
LOc8d478fb1b|The Plazas|RG615666dae9|Connect the outer city sectors, a space to gather and hear news.|
LO7d910b9cc1|The Registry|RG58cc047b16|Information Center.|
LO5f227c8e84|The Savage Wilds|RG8ee35f0ddd||
LOc627b5aaa2|The Shadow Crypts|RG8bc7b8bb1d|Dim halls within the Demonastery where a black mold containing warped microcosms of shifting light grows.|the-shadow-crypts
LOae209e0ca9|The Silvaris|RG615666dae9|A series of beautiful public gardens surrounding the inner sanctum of Solana.|
LO6ac245e927|The Solarium|RG615666dae9|The inner sanctum, home to the Light of Sol.|
LOa5f3b84f11|The Sprawl|RG58cc047b16||
LO45dac742cc|The Undercroft|||
LO270073bf50|The Valdur|RG48803cad0f|Part of the Everfest Carnival, known for strongmen acts and work with animals.|
LOc025e6666e|The Valdur|RG48803cad0f||
LO45deab789a|The Venarium|RG8bc7b8bb1d|Room filled with plants.|
LOf5964bb91a|The Vitiate Gateway|RG8bc7b8bb1d|Last of the 9 portals connecting Rathe to íArathael.|
LO6f27c455e1|Thistlefold|||
LO6a806a431b|Throne Glade|RG48803cad0f|Area next to Candlehold.|
LO811094e268|Thunder Steppe|RG48803cad0f|Channel Thunder Steppe|thunder-steppe
LO4d36a30f51|Torched Territory|RGb2d75101c8|Marked with trigger-sensitive flamethrowers, fire traps, lava pits, and plenty of explosives.|
LO405629c19b|Trōpal-Dhani|RG05a2281d01|A legendary city said to have survived the Dhani empire's collapse, hiding its lost magic and treasures in the most perilous ruins.|trōpal-dhani
LObeb7a41de4|Underdog Cafe|RG58cc047b16|In Coppertown.|
LO5e38607206|Valahai|RG48803cad0f||valahai
LO070c2cab97|Voltaris Gem|RG63dcf97f5c||astral-bridge
LO793ecea506|Volthaven|RG48803cad0f||enion
LOd97fd0d17b|Vossen Theater|RG58cc047b16||
LOfacf25a520|Voxx Press|RG58cc047b16||
LO44a8837c0a|West Ranges|||
LO15bc3d122e|West Rise|RG58cc047b16||west-rise
LOaf5595e0df|Yvor's Peak|RG48803cad0f|Statue of Yvor located here, doorway to an armory.|
LO6649aef91e|Zancaro|RG8e23bdd8e8||
LO8e211cce26|Zesca's|RG58cc047b16||
LO289cf09b7b|Zinnia Park|RG58cc047b16||zinnia-park
LO5275385b36|i'Arathael||Separate plane accessed via a portal in the Demonastery, home of the Old Ones.|
