# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: python3 src/data/create_equipment_csv.py
EquipmentGameId|CardName|CanonicalEquipmentId|ClassIds|TalentIds|Cost|Defense|AbilityText|Types
EG5cf11831b3|Scabskin Leathers|CE60feb514f9|CL48a111b581|||2|**Once per turn Action** - 0: Roll a 6 sided die. Gain action points equal to half the number rolled, rounded down.  **Battleworn**|Brute, Equipment, Legs
EG544ea2f908|Snapdragon Scalers|CEc8050812fc|CL46a808cfd5|||0|**Attack Reaction** - Destroy this: Target attack action card with cost 1 or less gets **go again**.|Generic, Equipment, Legs
EG31c63533e3|Tectonic Plating|CE95a3bcc3de|CL8060afda51|||2|**Once per turn Action** - {r}: Create a Seismic Surge aura token. **Go again**  **Battleworn**|Guardian, Equipment, Chest
EG8ea7344f31|Achilles Accelerator|CE7230f69776|CLc2defff067|||0|**Instant** - Destroy Achilles Accelerator: Gain 1 action point. Activate this ability only if you have **boosted** this turn.  **Arcane Barrier 1**|Mechanologist, Equipment, Legs
EG07e4fcd94f|Arcanite Skullcap|CE0b3441fdd4|CL46a808cfd5|||1|If you have less {h} than your opponent, Arcanite Skullcap gains +1{d} and **Arcane Barrier 3**.  **Battleworn**|Generic, Equipment, Head
EG2ef043e117|Bracers of Belief|CE9294e839b3|CL46a808cfd5|||0|**Action** - Destroy Bracers of Belief: Reveal the top card of your deck. If you do, the next attack action card you play this turn, gains +X{p}, where X is 3 minus the pitch value of the card revealed this way. **Go again**|Generic, Equipment, Arms
EGecc6e6d1c9|Bull's Eye Bracers|CE43eac6a30f|CLe8126c64c3|||0|**Action** - Destroy Bull's Eye Bracers: If you have no cards in your arsenal, you may put an arrow card from your hand face up into your arsenal. It gains +1{p} until end of turn. **Go again**  **Arcane Barrier 1**|Ranger, Equipment, Arms
EG4178f6aff0|Crown of Dichotomy|CE74ee08717d|CL7ddbb0abd6|||0|**Action** - {r}, destroy Crown of Dichotomy: Put target Runeblade attack action card and target Runeblade 'non-attack' action card from your graveyard on top of your deck in any order.  **Arcane Barrier 1**|Runeblade, Equipment, Head
EGf576bf2a0f|Grasp of the Arknight|CE8a13ace0f9|CL7ddbb0abd6|||2|**Once per Turn Action** - {r}{r}: Create a Runechant token. This ability costs an additional {r} to activate for each Runechant you control. **Go again**  **Battleworn**|Runeblade, Equipment, Arms
EG6e53bd5ba2|Mage Master Boots|CEbda1c25762|CL46a808cfd5|||0|**Action** - {r}, destroy this: The next non-attack action card you play this turn gets **go again**. **Go again**|Generic, Equipment, Legs
EG9b0eb1b126|Nullrune Boots|CE226170fc13|CL46a808cfd5|||0|**Arcane Barrier 1**|Generic, Equipment, Legs
EGf1ff569bdd|Nullrune Gloves|CEb8e4febc3f|CL46a808cfd5|||0|**Arcane Barrier 1**|Generic, Equipment, Arms
EG0d002390b2|Nullrune Hood|CEf57b1a36f5|CL46a808cfd5|||0|**Arcane Barrier 1**|Generic, Equipment, Head
EGc2a428ceaa|Nullrune Robe|CE48e09e8d97|CL46a808cfd5|||0|**Arcane Barrier 1**|Generic, Equipment, Chest
EG162be3e89a|Robe of Rapture|CE185e8bb9e8|CLaf2c41eb4e|||0|**Action** - Destroy Robe of Rapture: Gain {r}{r}{r}.  **Arcane Barrier 1**|Wizard, Equipment, Chest
EGf0456ce025|Skullbone Crosswrap|CE36a953e631|CLe8126c64c3|||1|**Once per Turn Action** - Turn a face down card in your arsenal face up: **Opt 1**. **Go again**  **Arcane Barrier 1**  **Blade Break**|Ranger, Equipment, Head
EGaee91a5166|Storm Striders|CEffb9dc4fe5|CLaf2c41eb4e|||0|**Instant** - {r}, destroy Storm Striders: You may play your next Wizard 'non-attack' action card this turn as though it were an instant.  **Arcane Barrier 2**|Wizard, Equipment, Legs
EGdf8fe7b5f5|Talismanic Lens|CE5ec6c69f52|CL46a808cfd5|||0|**Instant** - Destroy Talismanic Lens: **Opt 2**|Generic, Equipment, Head
EGbd4ae138c7|Teklo Foundry Heart|CE4e8af27eea|CLc2defff067|||2|**Once per Turn Action** - {r}: Banish the top 2 cards of your deck. Gain {r} for each Mechanologist card banished this way. Activate this ability only if you've **boosted** this turn. **Go again**  **Battleworn**|Mechanologist, Equipment, Chest
EG730affff06|Vest of the First Fist|CEccb3edd0e9|CL46a808cfd5|||0|When an attack action card you control hits, you may destroy Vest of the First Fist. If you do, gain {r}{r}.|Generic, Equipment, Chest
EG26627ecee1|Bloodsheath Skeleta|CEd68bea3760|CL7ddbb0abd6|||2|"**Instant** - Destroy this: The next attack action card and non-attack action card you play this turn get ""This card costs {r} less to play for each Runechant you control.""  **Temper**"|Runeblade, Equipment, Chest
EG58547247b3|Breeze Rider Boots|CE9a9727427a|CL04a4fce796|||1|When a Ninja attack action card you control hits, you may destroy Breeze Rider Boots. If you do, attack action cards with **combo** gain **go again** this turn.  **Battleworn**|Ninja, Equipment, Legs
EG25de590814|Courage of Bladehold|CE53348f47ba|CLf4c16fcffe|||2|**Action** - Destroy Courage of Bladehold: Your sword attacks cost {r} less this turn. **Go again**  **Temper**|Warrior, Equipment, Chest
EGf01b49b04f|Crater Fist|CE33c1c32d50|CL8060afda51|||2|**Action** - {r}{r}{r}, destroy Crater Fist: Your attacks with **crush** gain +2{p} this turn. **Go again**  **Temper**|Guardian, Equipment, Arms
EGe46d28cc9f|Gambler's Gloves|CE01a5e40268|CL46a808cfd5|||0|If a hero would roll one or more 6 sided dice, instead after the roll you may destroy Gambler's Gloves. If you do, that hero rerolls all 6 sided dice rolled this way.|Generic, Equipment, Arms
EGc365350410|Metacarpus Node|CE8c71e8eae4|CLaf2c41eb4e|||0|Whenever you play a card with an effect that deals arcane damage, you may pay {r}. If you do, instead it deals that much arcane damage plus 1, and destroy Metacarpus Node at the beginning of the end phase.  **Arcane Barrier 1**|Wizard, Equipment, Arms
EG7a9b69c302|Perch Grapplers|CE0b300b031b|CLe8126c64c3|||2|**Action** - {r}{r}, destroy Perch Grapplers: Until end of turn, face up arrow cards played from arsenal gain **go again**. **Go again**  **Blade Break**|Ranger, Equipment, Legs
EG02d87961af|Skullhorn|CE1e23745dc8|CL48a111b581|||0|**Action** - Destroy Skullhorn: Draw a card then discard a random card. **Go again**  **Arcane Barrier 2**|Brute, Equipment, Head
EG3d09dc9d76|Viziertronic Model i|CE9a1a44ab4a|CLc2defff067|||0|**Action** - destroy Vizertronic Model i: Whenever you **boost** this turn, draw a card then put a card from your hand on top of your deck. **Go again**  **Arcane Barrier 2**|Mechanologist, Equipment, Head
EG77bf480cce|Aether Ironweave|CEc78cb4a3de|CL7ddbb0abd6|||1|**Action** - Destroy Aether Ironweave: Gain {r}{r}. Activate this ability only if you have played an attack action card and a 'non-attack' action card this turn. **Go again**  **Battleworn**|Runeblade, Equipment, Chest
EG162bc9056b|Blood Drop Brocade|CE417432fd4e|CL46a808cfd5|||0|**Instant** - Destroy Blood Drop Brocade: Gain {r}. Activate this ability only if you have dealt or been dealt {p} damage this turn.|Generic, Equipment, Chest
EG5f4b6e12a5|Carrion Husk|CE5c95ec7fe9||TLed9d3d832a||6|If you defend with Carrion Husk, banish it when the combat chain closes.  At the start of your turn, if you have 13 or less {h}, banish Carrion Husk.  **Blood Debt**|Shadow, Equipment, Chest
EGe0a905df66|Dream Weavers|CE42b71af235|CLe7f74fadce|||0|**Action** - Destroy Dream Weavers: The next Illusionist attack action card you play this turn loses and can't gain **phantasm**. **Go again**  **Spellvoid 1**|Illusionist, Equipment, Arms
EGc26db91073|Ebon Fold|CE28022326ae||TLed9d3d832a||0|**Instant** - {r}, destroy Ebon Fold: Banish a card from your hand. If it's a Shadow card, draw a card.  **Spellvoid 2**|Shadow, Equipment, Head
EG6718849c36|Gallantry Gold|CE127c91bf5b|CLf4c16fcffe|||1|**Action** - {r}, destroy Gallantry Gold: Your weapon attacks gain +1{p} this turn. **Go again**  **Battleworn**|Warrior, Equipment, Arms
EGaf2f7291cd|Halo of Illumination|CEe2d5510c53||TLdfccc06f14||0|**Instant** - {r}, destroy Halo of Illumination: Put a card from your hand into your hero's soul. If it's a Light card, draw a card.  **Spellvoid 2**|Light, Equipment, Head
EG51d0c2ae18|Hooves of the Shadowbeast|CE13e2ada489|CL48a111b581|TLed9d3d832a||1|Whenever a card with 6 or more {p} is put into your banished zone, you may destroy Hooves of the Shadowbeast. If you do, gain 1 action point.  **Battleworn**|Shadow, Brute, Equipment, Legs
EG621e593219|Ironhide Gauntlet|CE656b143588|CL46a808cfd5|||0|"When you defend with Ironhide Gauntlet, you may pay {r}. If you do, it gains +2{d} and ""When the combat chain closes, destroy Ironhide Gauntlet."""|Generic, Equipment, Arms
EG1033d2f380|Ironhide Helm|CEde2b0c7eba|CL46a808cfd5|||0|"When you defend with Ironhide Helm, you may pay {r}. If you do, it gains +2{d} and ""When the combat chain closes, destroy Ironhide Helm."""|Generic, Equipment, Head
EG44a3b7d749|Ironhide Legs|CE4225cfa36a|CL46a808cfd5|||0|"When you defend with Ironhide Legs, you may pay {r}. If you do, it gains +2{d} and ""When the combat chain closes, destroy Ironhide Legs."""|Generic, Equipment, Legs
EGc6202fa903|Ironhide Plate|CEa4d84d6931|CL46a808cfd5|||0|When you defend with Ironhide Plate, you may pay {r}. If you do, it gains +2{d} and destroy it when the combat chain closes.|Generic, Equipment, Chest
EGe9078a7747|Phantasmal Footsteps|CE2c112164cb|CLe7f74fadce|||0|Once per turn, when an Illusionist attack action card you control is destroyed, you may pay {r}. If you do, gain 1 action point.  Whenever this defends, you may pay {r}. If you do, its {d} becomes 1 until end of turn.  When Phantasmal Footsteps is defending a non-Illusionist attack with 6 or more {p}, destroy it when the combat chain closes.|Illusionist, Equipment, Legs
EG1db79463b9|Spell Fray Cloak|CE22d60a3051|CL46a808cfd5|||0|**Spellvoid 1**|Generic, Equipment, Chest
EG9aabd9a6e0|Spell Fray Gloves|CEe2cb788c7d|CL46a808cfd5|||0|**Spellvoid 1**|Generic, Equipment, Arms
EGad19e32dcb|Spell Fray Leggings|CEcca48a2012|CL46a808cfd5|||0|**Spellvoid 1**|Generic, Equipment, Legs
EGb08897b1ef|Stubby Hammerers|CE862d713606|CL46a808cfd5|||0|**Action** - Destroy Stubby Hammerers: Attack action cards with 3 or less base power gain +1{p} while attacking this turn. **Go again**|Generic, Equipment, Arms
EGbdea9257d5|Time Skippers|CEe954e99540|CL46a808cfd5|||0|**Action** - {r}{r}{r}, destroy this: Gain 2 action points.|Generic, Equipment, Legs
EG83a93be7db|Valiant Dynamo|CE039dadecf8|CLf4c16fcffe|||1|At the beginning of your end phase, if you've attacked 2 or more times with weapons this turn, you may remove a -1{d} counter from this.  **Battleworn**|Warrior, Equipment, Legs
EGacca40e1e5|Vestige of Sol|CE983df3effb||TLdfccc06f14||1|If a card has been put into your hero's soul this turn, whenever you pitch a Light card, instead gain that many {r} plus 1.  **Blade Break**|Light, Equipment, Chest
EG5b938a380e|Coat of Frost|CEbd902854f5||TLd53b257ba8||0|**Action** - Destroy Coat of Frost: Create a Frostbite token under target hero's control. **Go again**|Ice, Equipment, Chest
EGdf223c5c90|Cracker Jax|CEa0fe606107|CL46a808cfd5|||0|**Action** - Destroy this: The next attack action card you play this turn gets +1{p}. **Go again**|Generic, Equipment, Arms
EGb7ed0c2cda|Crown of Seeds|CEaccb4821b9||TL44d476274f||0|**Once per Turn Instant** - {r}, put a face down card from your arsenal on the bottom of your deck: Draw a card and prevent the next 1 damage that would be dealt to your hero this turn.|Earth, Equipment, Head
EG78d42033d2|Deep Blue|CEbad762c8fb|CL46a808cfd5|||0|**Action** - Put a card from your hand on the bottom of your deck, destroy Deep Blue: Gain {r}{r}{r}. **Go again**|Generic, Equipment, Chest
EGa863c6fff1|Heart of Ice|CE218975ceeb||TLd53b257ba8||1|**Once per Turn Action** - {r}: Cards and activated abilities cost opposing heroes additional {r} this turn. **Go again**  **Arcane Barrier 1**  **Blade Break**|Ice, Equipment, Chest
EG246551be01|Honing Hood|CE1877e0b123|CLe8126c64c3||0|0|**Instant** - Destroy Honing Hood: Return all cards in your arsenal to your hand, then put a card from your hand face down into your arsenal.|Ranger, Equipment, Head
EGf4c8e1d0a4|Mark of Lightning|CE14edfa8470||TL71f4977891||0|Whenever a Lightning or Elemental attack you control is defended by a card from hand, you may destroy Mark of Lightning. If you do, the attack deals 1 damage to the defending hero.|Lightning, Equipment, Arms
EGaf1681b3c8|New Horizon|CE14d06cab50|CLe8126c64c3|||2|If you have a face up card in your arsenal, you have an additional arsenal zone.  When this is destroyed, destroy all cards in your arsenal.  **Blade Break**|Ranger, Equipment, Head
EGb1fee4d56e|Plume of Evergrowth|CEde96fa4180||TL44d476274f||0|**Instant** - {r}{r}{r}, destroy Plume of Evergrowth: Return target Earth action card or Earth instant card from your graveyard to your hand.|Earth, Equipment, Head
EGabcca77594|Ragamuffin's Hat|CEdf6e97b781|CL46a808cfd5|||0|**Instant** - Destroy Ragamuffin's Hat: Draw a card then put a card from your hand on the top or bottom of your deck. Activate this ability only if you have 1 card in hand.|Generic, Equipment, Head
EG490bed167d|Rampart of the Ram's Head|CE945633ab58|CL8060afda51|||0|Whenever you defend with Rampart of the Ram's Head, you may pay {r}. If you do, it gains +1{d} until end of turn.|Guardian, Equipment, Off-Hand
EG88d25f25cd|Rotten Old Buckler|CE038d38effe|CL8060afda51|||1|**Blade Break**|Guardian, Equipment, Off-Hand
EGbea2630074|Runaways|CE423b61442a|CL46a808cfd5|||0|**Instant** - Destroy Runaways: Prevent the next 1 damage that would be dealt to your hero this turn. Activate this ability only if your hero has been dealt damage this turn.|Generic, Equipment, Legs
EGc8d005c198|Shock Charmers|CE5b5be871a2||TL71f4977891||0|**Instant** - {r}{r}: The next time an attack action card you control hits a hero this turn, it deals 1 damage to them.  **Spellvoid 2**|Lightning, Equipment, Arms
EGcfa1965293|Spellbound Creepers|CEb0ea97a886|CL7ddbb0abd6|||1|**Once per Turn Instant** - {r}, put a bind counter on Spellbound Creepers: You may play your next 'non-attack' action card this turn as though it were an instant. Activate this ability only if you have attacked or defended with an attack action card this turn.  At the beginning of your end phase, destroy Spellbound Creepers unless you have dealt arcane damage equal to or greater than the number of bind counters on Spellbound Creepers.  **Blade Break**|Runeblade, Equipment, Legs
EG4a6fdc4a87|Sutcliffe's Suede Hides|CE2f28b69769|CL7ddbb0abd6|||0|**Attack Reaction** - {r}, destroy this: Target attack action card gets **go again**. Activate this only if you've played a non-attack action card this turn.|Runeblade, Equipment, Legs
EG45e8afe071|Arcane Lantern|CE870150b51e|CL46a808cfd5||||**Arcane Barrier 1**|Generic, Equipment, Off-Hand
EGa73ce2cfd6|Crown of Reflection|CE28b8f1e331|CLe7f74fadce|||0|**Instant** - Destroy Crown of Reflection: Destroy target Illusionist aura you control. If you do, you may put an Illusionist aura card from your hand into the arena with cost less than or equal the aura destroyed this way. Activate Crown of Reflection only during your action phase.  **Arcane Barrier 1**|Illusionist, Equipment, Head
EG5c480c595f|Earthlore Bounty|CE8b7c89b70f|CL8060afda51|||2|Whenever you draw 1 or more cards from an action card effect, create that many Seismic Surge tokens.  **Temper**|Guardian, Equipment, Chest
EGb0ad745c44|Helm of Sharp Eye|CE70af238e4a|CLf4c16fcffe|||1|**Attack Reaction** - {r}, destroy this: Banish the top card of your deck. You may play it this combat chain. Activate this only if you control a weapon attack with {p} greater than twice its base.  **Battleworn**|Warrior, Equipment, Head
EGebe986f98f|Mask of the Pouncing Lynx|CE3ca21ac2b3|CL04a4fce796|||2|When an attack action card you control hits, you may destroy Mask of the Pouncing Lynx. If you do, search your deck for an attack action card with 2 or less {p}, banish it, then shuffle. You may play it this turn.  **Blade Break**|Ninja, Equipment, Head
EG75796305fd|Silver Palms|CE5704a6986c|CLaf904dcff9|||2|At the start of each other hero's turn, if they have less {h} than you, they may draw a card. If they do, you create a Silver token.  **Blade Break**|Merchant, Equipment, Arms
EG98dadfbcb7|Skull Crushers|CE77c7db2e18|CL48a111b581|||1|Whenever you roll a 5 or 6 on a die, your Brute attacks gain +1{p} this turn.  Whenever you roll a 1 on a die, destroy Skull Crushers.  **Battleworn**|Brute, Equipment, Arms
EGd30dae8844|Stalagmite, Bastion of Isenloft|CEa0ee3c96d1|CL8060afda51|TLd53b257ba8||2|Whenever you defend with Stalagmite, create a Frostbite token under the attacking hero's control. **Temper**|Ice, Guardian, Equipment, Off-Hand
EG8ba1a6dcf9|Vexing Quillhand|CE95a90b41bf|CL7ddbb0abd6|||0|**Action** - Destroy this: Create 2 Runechant tokens. **Go again**  **Arcane Barrier 1**|Runeblade, Equipment, Arms
EG9e5c6e22a8|Blossom of Spring|CEc8128f7712|CL46a808cfd5|||0|**Action** - Destroy this: Gain {r}. **Go again**|Generic, Equipment, Chest
EG1423707b78|Bone Vizier|CE81cb3c5b46|CL48a111b581|||1|When Bone Vizier is destroyed, reveal the top card of your deck. If it has 6 or more {p}, put it on top of your deck. Otherwise, put it on the bottom.  **Blade Break**|Brute, Equipment, Head
EG547da267ea|Alluvion Constellas|CEd8105d41ba|CLaf2c41eb4e|||0|The first time Alluvion Constellas prevents arcane damage each turn, if it has less than 4 energy counters, you may put an energy counter on it.  **Instant** - Remove 2 energy counters from Alluvion Constellas: The next staff ability you activate this turn costs {r}{r}{r} less.  **Arcane Barrier 1**|Wizard, Equipment, Chest
EGe8a41b4524|Conduit of Frostburn|CE4ea25c3643|CLaf2c41eb4e|TLd53b257ba8||0|"**Instant** - Destroy Conduit of Frostburn: The next card you play this turn with an effect that deals arcane damage gains ""When this deals arcane damage to a hero, destroy a **frozen** card in their arsenal.""  **Quell 1**"|Ice, Wizard, Equipment, Arms
EGab6ff8216c|Coronet Peak|CE860b8da5ff||TLd53b257ba8||2|**Action** - {r}{r}{r}: Target hero discards a card unless they pay {r}.  **Blade Break**|Ice, Equipment, Head
EG746e5681b4|Crown of Providence|CE65dc2318b6|CL46a808cfd5|||2|When you defend with Crown of Providence, you may put a card from your hand or arsenal on the bottom of your deck. If you do, draw a card.  **Blade Break**|Generic, Equipment, Head
EG4c1a1de187|Flamescale Furnace|CE81745ae4ff||TL8d85e3583f||2|**Once per Turn Instant** - {r}: Gain {r} for each red card in your pitch zone. Activate this ability only if you've played a red card this turn.  **Temper**|Draconic, Equipment, Chest
EG1942de2506|Ghostly Touch|CEcde107d089|CLe7f74fadce|||0|"Whenever an Illusionist attack you control is destroyed by **phantasm**, put a haunt counter on Ghostly Touch.  **Once per Turn Action** - Remove a haunt counter from Ghostly Touch: Until end of turn, this becomes an Illusionist ally with **phantasm**, base {p} and {h} equal to the number of haunt counters on it, and ""**Once per Turn Action** - {r}{r}{r}: **Attack**"". **Go again**"|Illusionist, Equipment, Arms
EG7ba19d82df|Glacial Horns|CEf5bbdc9b1e||TLd53b257ba8||0|**Action** - Destroy Glacial Horns: Choose a hero. **Freeze** up to 1 card in their arsenal and 1 ally they control until the start of your next turn. **Go again**|Ice, Equipment, Head
EGce57b408cb|Heat Wave|CE38644e6f87|CL04a4fce796|TL8d85e3583f||0|**Instant** - Destroy Heat Wave: Phoenix Flames you control gain +1{p} until end of turn.  **Quell 1**|Draconic, Ninja, Equipment, Arms
EGb066f97184|Helio's Mitre|CEca80d87f10|CL46a808cfd5|||0|*(A player may add a Helio's Mitre to their card pool in an Uprising limited format.)*  **Instant** - {r}{r}: Prevent the next 1 damage that would be dealt to your hero this turn by a source of your choice. Destroy Helio's Mitre at the beginning of the end phase.|Generic, Equipment, Head
EGb7b9ff7c80|Quelling Robe|CEc1763fce4c|CL46a808cfd5|||0|**Quell 1**|Generic, Equipment, Chest
EGc52d515782|Quelling Sleeves|CE66524cc655|CL46a808cfd5|||0|**Quell 1**|Generic, Equipment, Arms
EGd5a56fd12e|Quelling Slippers|CE618932ee4b|CL46a808cfd5|||0|**Quell 1**|Generic, Equipment, Legs
EG243d49dc0b|Sash of Sandikai|CE5aba8800bd||TL8d85e3583f||0|**Instant** - Destroy Sash of Sandikai: Gain {r}. Activate this ability only if you've played a red card this turn.|Draconic, Equipment, Chest
EGd57a685fb3|Silent Stilettos|CE1b4410be51|CLe7f74fadce|||0|Whenever an attacking ally you control dies or an attack action card you control is destroyed by **phantasm**, you may pay {r}{r}{r}. If you do, destroy Silent Stilettos and gain 1 action point.  **Arcane Barrier 1**|Illusionist, Equipment, Legs
EGbcf35efd80|Silken Form|CE36482198e5|CLe7f74fadce|TL8d85e3583f||0|**Instant** - Destroy Silken Form: **Transform** target ash you control into an Aether Ashwing.  **Quell 1**|Draconic, Illusionist, Equipment, Arms
EG3325fe1782|Spellfire Cloak|CE2381e6107d|CLaf2c41eb4e|||0|**Instant** - Destroy Spellfire Cloak: Gain {r}. Activate this ability only during an opponent's turn.  **Arcane Barrier 1**|Wizard, Equipment, Chest
EG567ed225ae|Tide Flippers|CE6df85f28ec|CL04a4fce796|||0|**Attack Reaction** - Destroy Tide Flippers: Target attack action card with 2 or less base {p} gains **go again**.  **Arcane Barrier 1**|Ninja, Equipment, Legs
EG95b8412395|Tiger Stripe Shuko|CE061e9869e2|CL04a4fce796|||2|"The second attack action card with 2 or less base {p} you play each turn has +1{p} and ""Damage that would be dealt by this can't be prevented.""  **Blade Break**"|Ninja, Equipment, Arms
EG08e6d5225a|Amethyst Tiara|CEb6a1491ed5|CL7ddbb0abd6|||1|**Instant** - Destroy Amethyst Tiara: Runechants you control have **spellvoid 1** this turn.  **Blade Break**|Runeblade, Equipment, Head
EGa94d44d6da|Beaten Trackers|CEe3d76a005b|CL48a111b581|||1|Whenever you discard a random card with 6 or more {p}, you may destroy this. If you do, gain 1 action point.  **Battleworn**|Brute, Equipment, Legs
EG9d3a301a29|Blacktek Whisperers|CEddd3ac275b|CLa055f8b49d|||1|"While Blacktek Whisperers is in your graveyard, at the start of your turn, you may destroy 2 Silvers you control. If you do, equip Blacktek Whisperers.  **Attack Reaction** - Destroy Blacktek Whisperers: Target Assassin attack action card gains ""When this hits a hero, it gains **go again**.""  **Battleworn**"|Assassin, Equipment, Legs
EG652527860e|Blazen Yoroi|CE979f628bbd|CL04a4fce796|||1|While Blazen Yoroi is defending on chain link 4 or higher, it has +4{d}.  **Blade Break**|Ninja, Equipment, Chest
EGaac4c6580b|Celestial Kimono|CE0384e64f52|CLe7f74fadce||||Once per turn, when Celestial Kimono or a non-token permanent you control with **ward** is destroyed, gain {r}.  **Ward 1**|Illusionist, Equipment, Chest
EG8c631fc4eb|Crown of Dominion|CEfc03ba0816|CL46a808cfd5||||Your hero is Royal.  When you equip Crown of Dominion, create a Gold token.|Generic, Equipment, Head
EG851a5ed5ae|Galvanic Bender|CE3f1a3a3b6c|CLc2defff067|||1|**Material** - While this is under a permanent, that permanent has +1{p}.  **Battleworn**|Mechanologist, Equipment, Arms
EG8d526eeeb8|Hornet's Sting|CE9e8bbcffc5|CLe8126c64c3|||1|Whenever Hornet's Sting defends, reveal the top card of your deck. If it's an arrow, deal 1 damage to the attacking hero or ally. Otherwise, put it on the bottom of your deck.  **Blade Break**|Ranger, Equipment, Arms
EG1e6e9acfb2|Mask of Perdition|CE2844c48996|CLa055f8b49d|||1|"While Mask of Perdition is in your graveyard, at the start of your turn, you may destroy 2 Silvers you control. If you do, equip Mask of Perdition.  **Attack Reaction** - Destroy Mask of Perdition: Target Assassin attack action card gains ""When this hits a hero, banish the top card of their deck.""  **Battleworn**"|Assassin, Equipment, Head
EG7b84b0d4ab|Ornate Tessen|CE291a5eb229|CL46a808cfd5||||**Instant** - {r}, destroy Ornate Tessen: Put a card from your hand on the bottom of your deck. If you do, draw a card.|Generic, Equipment, Off-Hand
EG8a807f15c3|Seasoned Saviour|CEef5d6ce314|CL8060afda51|||3|When you equip Seasoned Saviour, put two -1{d} counters on it. **Battleworn**|Guardian, Equipment, Off-Hand
EGc1ae0cae15|Spell Fray Tiara|CE0b39487af6|CL46a808cfd5|||0|**Spellvoid 1**|Generic, Equipment, Head
EG45e3c88525|Steelbraid Buckler|CE03556640e9|CL8060afda51|||2|**Temper**|Guardian, Equipment, Off-Hand
EGac56f1da70|Tearing Shuko|CE8427383431|CL04a4fce796|||1|**Instant** - Destroy this: The next Crouching Tiger you play this turn gains +2{p}.  **Battleworn**|Ninja, Equipment, Arms
EG58300ecd08|Wave of Reality|CE79d6fece2a|CLe7f74fadce||||When Wave of Reality is destroyed, create a Spectral Shield token.  **Ward 1**|Illusionist, Equipment, Arms
EG0c7c536dbe|Blade Cuff|CE326aa2928c|CLa055f8b49d, CL04a4fce796|||1|**Action** - {r}{r}, destroy Blade Cuff: Your daggers gain +1{p} this turn. **Go again**  **Blade Break**|Assassin, Ninja, Equipment, Arms
EG7f4a4b371c|Crow's Nest|CEd477e276c1|CLe8126c64c3||||**Azalea Specialization**  Whenever an arrow is put face up into your arsenal from your deck, you may pay {r}. If you do, put an aim counter on it.|Ranger, Equipment, Quiver
