# AUTO-GENERATED FILE — do not edit by hand. Regenerate with: Use the Story class in src/data/story.py (Story.link_npc / link_monster / link_fauna / link_flora / link_food_drink / link_location — link_location upserts regions.csv when region_name is set).
LocationId|Name|RegionId|Notes|LoreFragment
LOed5d05a8e1|Ryōsōzan Peaks|RG6cd31a74b6|Owned by Nuu|
LO1779d4a02e|Sand Glass District|RG8e23bdd8e8||
LO85d0af60cd|Sandakai|RG8e23bdd8e8||
LO2ab0aae07a|Seethe|RGb2d75101c8|A river|
LO4cee4181ce|Seetheside Docks|RGb2d75101c8||
LOdac2de7193|Sellshore Coast|RG05a2281d01||
LOc74a0534ad|Shuntswitch Railway Station|RGb2d75101c8||
LO58e2880026|Signarus|RG615666dae9||
LOf88e62095e|Skein|RGb2d75101c8||
LO6f1ca2e4e2|Skylark Peak|RG6cd31a74b6||
LOa3a04e4df8|Solana|RG615666dae9|City|
LO3f61ba559d|Sori 16|RGb2d75101c8|Location of The Leaf House|
LO91aab9bb2e|Southmaw|RGb2d75101c8|A hospital/asylum in the Pits|
LO61b5004aa3|Sunvale|RG615666dae9|Village|
LO59f11a4ee0|Tarnish Hill|RGb23a6a8439||
LOe65f54e241|Teklo Industries|RG58cc047b16||teklo-industries
LO87ad66fb94|Tempest Straits|RGb23a6a8439||
LO48f0f2bc26|Teramundr's Triangle|RG05a2281d01||
LO42d5b6c0e2|Terrecette Academy|RG58cc047b16||
LO1a85c4ceb4|The Ash Plains|RG8e23bdd8e8||
LOb5f81d1848|The Badlands|RG8e23bdd8e8|Borders the Savage Lands|
LOa21e808c75|The Beyond|RG8bc7b8bb1d|Separate realm|
LOb8c84ed077|The Bleake Expanse|RG48803cad0f||
LOffa22496bd|The Broken Chariot Tavern|RGb23a6a8439||
LO0d4a1fe93c|The Drop|RGb2d75101c8|A bar owned by [Uzuri](../heroes-of-rathe/uzuri-about.md)|
LO9fd2ca9024|The Everfest Carnival|RG48803cad0f||
LO44d64195eb|The Foundry|RG58cc047b16||the-foundry
LOcfe267dc1c|The Golden Fields|RG615666dae9|Beyond the outer walls are grand golden fields, numerous villages and towns under the protection and guidance of Solana|
LO6e57d10574|The Golden Gnome|RG48803cad0f|Part of the Everfest Carnival|
LO59d883b748|The Golden Orchard Estate|RG8e23bdd8e8||
LO93dd5ae463|The Great Gates|RG615666dae9|These eight paths lead through the city to the Solarium|
LOf169f51c99|The Korshem|RG48803cad0f||the-korshem
LO6387c3994d|The Leaf House|RGb2d75101c8|Restaurant ran by Jemjang|
LO5a77b13b75|The Maela|RG48803cad0f|Part of the Everfest Carnival, fortune tellers, seers, oracles, enchantresses, and conjurers|
LO809de2774d|The Maw|RGb2d75101c8|Entrance to the pits, traveled by mine cage|the-maw
LOc8f4074eb8|The Moat|RG23a26a3e3c||
LOfb3d45171c|The Needle|RG58cc047b16||the-needle
LO26915881b0|The Northern Realms|RG615666dae9|Region of Solana|
LO1b27545b9e|The Oasis|RG8e23bdd8e8|Water from Misteria, lava from Mt. Volcor|
LOb46ee21e33|The Obsidian Coast|RG8e23bdd8e8||
LOc8d478fb1b|The Plazas|RG615666dae9|Connect the outer city sectors, a space to gather and hear news|
LO7d910b9cc1|The Registry|RG58cc047b16|Information Center|
LOc627b5aaa2|The Shadow Crypts|RG8bc7b8bb1d||the-shadow-crypts
LOae209e0ca9|The Silvaris|RG615666dae9|A series of beautiful public gardens surrounding the inner sanctum of Solana|
LO6ac245e927|The Solarium|RG615666dae9|The inner sanctum, home to the Light of Sol|
LOa5f3b84f11|The Sprawl|RG58cc047b16||
LO45dac742cc|The Undercroft|RG23a26a3e3c||
LO270073bf50|The Valdur|RG48803cad0f|Part of the Everfest Carnival, known for strongmen acts and work with animals|
LO45deab789a|The Venarium|RG8bc7b8bb1d|Room filled with plants|
LOf5964bb91a|The Vitiate Gateway|RG8bc7b8bb1d|Last of 9 portals connecting Rathe to íArathael|
LO6f27c455e1|Thistlefold|RGb23a6a8439||
LO6a806a431b|Throne Glade|RG48803cad0f|Area next to Candlehold|
LO811094e268|Thunder Steppe|RG48803cad0f|Channel Thunder Steppe|thunder-steppe
LO4d36a30f51|Torched Territory|RGb2d75101c8|Marked with trigger-sensitive flamethrowers, fire traps, lava pits, and plenty of explosives|
LO405629c19b|Trōpal-Dhani|RG05a2281d01||trōpal-dhani
LObeb7a41de4|Underdog Cafe|RG58cc047b16|In Coppertown|
LO5e38607206|Valahai|RG48803cad0f||valahai
LO057e11f564|Volthaven|RG48803cad0f||
LOd97fd0d17b|Vossen Theater|RG58cc047b16||
LOfacf25a520|Voxx Press|RG58cc047b16||
LO44a8837c0a|West Ranges|RGb23a6a8439||
LO15bc3d122e|West Rise|RG58cc047b16||west-rise
LOaf5595e0df|Yvor's Peak|RG48803cad0f|Statue of Yvor located here, doorway to an armory|
LO6649aef91e|Zancaro|RG8e23bdd8e8||
LO8e211cce26|Zesca's|RG58cc047b16||
LO289cf09b7b|Zinnia Park|RG58cc047b16||zinnia-park
LO33e4833932|íArathael|RG8bc7b8bb1d|Separate plane, accessed via a portal in the Demonastery, home of the Old Ones|
